DEBUG 2022-06-01 14:24:08,422 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1652696947.9630873
DEBUG 2022-06-01 14:24:08,422 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1653493233.7828636
DEBUG 2022-06-01 14:24:08,422 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/lookups.py first seen with mtime 1653493233.7141302
DEBUG 2022-06-01 14:24:08,422 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/views/csrf.py first seen with mtime 1653493234.186292
DEBUG 2022-06-01 14:24:08,423 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1653493228.481464
DEBUG 2022-06-01 14:24:08,423 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1653493233.737069
DEBUG 2022-06-01 14:24:08,423 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/token_blacklist/admin.py first seen with mtime 1652696964.0049098
DEBUG 2022-06-01 14:24:08,423 autoreload File /usr/lib/python3.10/asyncio/locks.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,423 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/middleware/__init__.py first seen with mtime 1653493233.9958029
DEBUG 2022-06-01 14:24:08,423 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/fields/__init__.py first seen with mtime 1653493233.7270951
DEBUG 2022-06-01 14:24:08,424 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/test/testcases.py first seen with mtime 1653493234.088554
DEBUG 2022-06-01 14:24:08,424 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1652696963.9133284
DEBUG 2022-06-01 14:24:08,424 autoreload File /usr/lib/python3.10/wsgiref/simple_server.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,424 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/postgres/fields/ranges.py first seen with mtime 1653493231.0405014
DEBUG 2022-06-01 14:24:08,424 autoreload File /usr/lib/python3.10/heapq.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,424 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/sqlparse/filters/reindent.py first seen with mtime 1652696947.960094
DEBUG 2022-06-01 14:24:08,424 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1653493233.9868257
DEBUG 2022-06-01 14:24:08,425 autoreload File /usr/lib/python3.10/json/__init__.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,425 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/postgres/fields/jsonb.py first seen with mtime 1653493231.0385058
DEBUG 2022-06-01 14:24:08,425 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/backends/base/validation.py first seen with mtime 1653493233.5819442
DEBUG 2022-06-01 14:24:08,425 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1653493234.138422
DEBUG 2022-06-01 14:24:08,425 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/backends/postgresql/client.py first seen with mtime 1653493233.6333268
DEBUG 2022-06-01 14:24:08,426 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1652696963.2752602
DEBUG 2022-06-01 14:24:08,426 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1653493233.989818
DEBUG 2022-06-01 14:24:08,426 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/version.py first seen with mtime 1653493234.1713321
DEBUG 2022-06-01 14:24:08,426 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/crm/urls.py first seen with mtime 1654069973.5713992
DEBUG 2022-06-01 14:24:08,426 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/postgres/fields/__init__.py first seen with mtime 1653493231.0305276
DEBUG 2022-06-01 14:24:08,427 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/backends/django.py first seen with mtime 1653493234.0446715
DEBUG 2022-06-01 14:24:08,427 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1653493233.7231073
DEBUG 2022-06-01 14:24:08,427 autoreload File /usr/lib/python3.10/json/scanner.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,427 autoreload File /usr/lib/python3.10/opcode.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,427 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/management/sql.py first seen with mtime 1653493233.487961
DEBUG 2022-06-01 14:24:08,427 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/http/response.py first seen with mtime 1653493233.9938078
DEBUG 2022-06-01 14:24:08,428 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/checks/security/csrf.py first seen with mtime 1653493233.4262402
DEBUG 2022-06-01 14:24:08,428 autoreload File /usr/lib/python3.10/asyncio/log.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,428 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1653493233.7698982
DEBUG 2022-06-01 14:24:08,428 autoreload File /usr/lib/python3.10/secrets.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,428 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/checks/async_checks.py first seen with mtime 1653493233.4013078
DEBUG 2022-06-01 14:24:08,428 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/crm/apps.py first seen with mtime 1652698209.5912077
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/checks/security/sessions.py first seen with mtime 1653493233.4282346
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/templatetags/cache.py first seen with mtime 1653493234.0676103
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/users/urls.py first seen with mtime 1653915242.7777886
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1653493233.788357
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/settings.py first seen with mtime 1652696963.908342
DEBUG 2022-06-01 14:24:08,429 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/mail/__init__.py first seen with mtime 1653493233.4601493
DEBUG 2022-06-01 14:24:08,430 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/serializers/__init__.py first seen with mtime 1653493233.5397491
DEBUG 2022-06-01 14:24:08,430 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/auth/base_user.py first seen with mtime 1653493227.8626223
DEBUG 2022-06-01 14:24:08,430 autoreload File /usr/lib/python3.10/importlib/machinery.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,430 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/serializers/base.py first seen with mtime 1653493233.541744
DEBUG 2022-06-01 14:24:08,430 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/utils/json.py first seen with mtime 1652696963.2912169
DEBUG 2022-06-01 14:24:08,430 autoreload File /usr/lib/python3.10/asyncio/selector_events.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,431 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1653493233.4949417
DEBUG 2022-06-01 14:24:08,431 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/decorators.py first seen with mtime 1653493234.1284468
DEBUG 2022-06-01 14:24:08,431 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/manage.py first seen with mtime 1652697077.9907167
DEBUG 2022-06-01 14:24:08,431 autoreload File /usr/lib/python3.10/decimal.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,431 autoreload File /usr/lib/python3.10/wsgiref/handlers.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,431 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/admin/filters.py first seen with mtime 1653493225.7446532
DEBUG 2022-06-01 14:24:08,431 autoreload File /usr/lib/python3.10/http/cookies.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,431 autoreload File /usr/lib/python3.10/asyncio/unix_events.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/messages/apps.py first seen with mtime 1653493230.9746766
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/_os.py first seen with mtime 1653493234.1055086
DEBUG 2022-06-01 14:24:08,432 autoreload File /usr/lib/python3.10/struct.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/templatetags/i18n.py first seen with mtime 1653493234.0706012
DEBUG 2022-06-01 14:24:08,432 autoreload File /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/models/constraints.py first seen with mtime 1653493233.7061515
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/module_loading.py first seen with mtime 1653493234.1543782
DEBUG 2022-06-01 14:24:08,432 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1653493234.0656154
DEBUG 2022-06-01 14:24:08,433 autoreload File /usr/lib/python3.10/asyncio/transports.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,433 autoreload File /usr/lib/python3.10/calendar.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,433 autoreload File /usr/lib/python3.10/html/parser.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,433 autoreload File /usr/lib/python3.10/argparse.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,433 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1653493233.6861823
DEBUG 2022-06-01 14:24:08,433 autoreload File /usr/lib/python3.10/email/header.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,433 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/sessions/backends/base.py first seen with mtime 1653493232.2047985
DEBUG 2022-06-01 14:24:08,433 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/views/decorators/cache.py first seen with mtime 1653493234.196266
DEBUG 2022-06-01 14:24:08,434 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/views.py first seen with mtime 1652696962.8304837
DEBUG 2022-06-01 14:24:08,434 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1653493233.7863624
DEBUG 2022-06-01 14:24:08,434 autoreload File /usr/lib/python3.10/asyncio/mixins.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,434 autoreload File /usr/lib/python3.10/plistlib.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,434 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1653493227.2721884
DEBUG 2022-06-01 14:24:08,434 autoreload File /usr/lib/python3.10/pickle.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,434 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/test/signals.py first seen with mtime 1653493234.085562
DEBUG 2022-06-01 14:24:08,434 autoreload File /usr/lib/python3.10/email/headerregistry.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,434 autoreload File /usr/lib/python3.10/enum.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,435 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/library.py first seen with mtime 1653493234.0297112
DEBUG 2022-06-01 14:24:08,435 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/mixins.py first seen with mtime 1652696962.7981763
DEBUG 2022-06-01 14:24:08,435 autoreload File /usr/lib/python3.10/urllib/error.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,435 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/backends/base/schema.py first seen with mtime 1653493233.579949
DEBUG 2022-06-01 14:24:08,435 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/epic_event/urls.py first seen with mtime 1653379398.1412296
